Actor/Actress	Movie	Year
Dominique Swain	The Job	2003
Pete Seeger	Pete & Toshi Get a Camera	2015
Mika Seeger	Pete & Toshi Get a Camera	2015
Pete Seeger	The Weavers: Wasn't That a Time	1981
Ronnie Gilbert	The Weavers: Wasn't That a Time	1981
Pete Seeger	Play On, John: A Life in Music	2009
John Cohen	Play On, John: A Life in Music	2009
Rayna Gellert	Play On, John: A Life in Music	2009
Ray Alden	Play On, John: A Life in Music	2009
Bruce Molsky	Play On, John: A Life in Music	2009
Dick Connette	Play On, John: A Life in Music	2009
Sonya Cohen	Play On, John: A Life in Music	2009
Pete Seeger	The Power of Their Song: The Untold Story of Latin America's New Song Movement	2008
Roy Brown	The Power of Their Song: The Untold Story of Latin America's New Song Movement	2008
Robert De Cormier	The Power of Their Song: The Untold Story of Latin America's New Song Movement	2008
Jackson Browne	The Power of Their Song: The Untold Story of Latin America's New Song Movement	2008
Lichi Fuentes	The Power of Their Song: The Untold Story of Latin America's New Song Movement	2008
Tao Rodriguez-Seeger	The Power of Their Song: The Untold Story of Latin America's New Song Movement	2008
Pete Seeger	Latido Latino II: tiempos mestizos	2001
David Byrne	Latido Latino II: tiempos mestizos	2001
Ruben Blades	Latido Latino II: tiempos mestizos	2001
Pete Seeger	Rooted in Peace	2016
Deepak Chopra	Rooted in Peace	2016
David Lynch	Rooted in Peace	2016
Pete Seeger	Dear Governor Cuomo	2012
Natalie Merchant	Dear Governor Cuomo	2012
Joan Osborne	Dear Governor Cuomo	2012
Pete Seeger	Alice's Restaurant	1969
Arlo Guthrie	Alice's Restaurant	1969
Patricia Quinn	Alice's Restaurant	1969
James Broderick	Alice's Restaurant	1969
Pete Seeger	The Robeson Concert & Riots of 1949	2012
Pete Seeger	Swim for the River	2006
Christopher Swain	Swim for the River	2006
James Doohan	Star Trek: The Motion Picture	1979
William Shatner	Star Trek: The Motion Picture	1979
Leonard Nimoy	Star Trek: The Motion Picture	1979
DeForest Kelley	Star Trek: The Motion Picture	1979
James Doohan	Actors in War	2005
Joseph Wapner	Actors in War	2005
Richard Anderson	Actors in War	2005
Richard Kline	Actors in War	2005
James Doohan	Star Trek II: The Wrath of Khan	1982
William Shatner	Star Trek II: The Wrath of Khan	1982
DeForest Kelley	Star Trek II: The Wrath of Khan	1982
Leonard Nimoy	Star Trek II: The Wrath of Khan	1982
James Doohan	The Duke	1999
Courtnee Draper	The Duke	1999
John Neville	The Duke	1999
Jeremy Maxwell	The Duke	1999
James Doohan	River of Stone	1994
Elya Baskin	The Name of the Rose	1986
Sean Connery	The Name of the Rose	1986
Christian Slater	The Name of the Rose	1986
Helmut Qualtinger	The Name of the Rose	1986
Elya Baskin	Wheelmen	2005
Jim Beaver	Wheelmen	2005
Lisa Arturo	Wheelmen	2005
James Avery	Wheelmen	2005
Dianne Wiest	Radio Days	1987
Mike Starr	Radio Days	1987
Mia Farrow	Radio Days	1987
Paul Herman	Radio Days	1987
Dianne Wiest	Bullets Over Broadway	1994
John Cusack	Bullets Over Broadway	1994
Chazz Palminteri	Bullets Over Broadway	1994
Jennifer Tilly	Bullets Over Broadway	1994
Dianne Wiest	Cops and Robbersons	1994
Robert Davi	Cops and Robbersons	1994
Jack Palance	Cops and Robbersons	1994
Chevy Chase	Cops and Robbersons	1994
Dianne Wiest	Edward Scissorhands	1990
Anthony Michael Hall	Edward Scissorhands	1990
Winona Ryder	Edward Scissorhands	1990
Johnny Depp	Edward Scissorhands	1990
Dianne Wiest	Cookie	1989
Emily Lloyd	Cookie	1989
Peter Falk	Cookie	1989
Michael V. Gazzo	Cookie	1989
Dianne Wiest	Darling Companion	2012
Diane Keaton	Darling Companion	2012
Kevin Kline	Darling Companion	2012
Richard Jenkins	Darling Companion	2012
Dianne Wiest	Five Nights in Maine	2015
Teyonah Parris	Five Nights in Maine	2015
Rosie Perez	Five Nights in Maine	2015
Dianne Wiest	Merci Docteur Rey	2002
Dianne Wiest	A Guide to Recognizing Your Saints	2006
Rosario Dawson	A Guide to Recognizing Your Saints	2006
Robert Downey Jr.	A Guide to Recognizing Your Saints	2006
Shia LaBeouf	A Guide to Recognizing Your Saints	2006
Dianne Wiest	The Horse Whisperer	1998
Sam Neill	The Horse Whisperer	1998
Kristin Scott Thomas	The Horse Whisperer	1998
John Lithgow	Johnny Skidmarks	1998
Frances McDormand	Johnny Skidmarks	1998
Peter Gallagher	Johnny Skidmarks	1998
John Kapelos	Johnny Skidmarks	1998
John Lithgow	Shrek	2001
Cameron Diaz	Shrek	2001
Mike Myers	Shrek	2001
John Lithgow	The World According to Garp	1982
Robin Williams	The World According to Garp	1982
Mary Beth Hurt	The World According to Garp	1982
Glenn Close	The World According to Garp	1982
John Lithgow	Homegrown	1998
Kelly Lynch	Homegrown	1998
Billy Bob Thornton	Homegrown	1998
Hank Azaria	Homegrown	1998
Kyra Sedgwick	Villains	2019
Bill Skarsgard	Villains	2019
Maika Monroe	Villains	2019
Jeffrey Donovan	Villains	2019
Kyra Sedgwick	Big Sky	2015
Frank Grillo	Big Sky	2015
Bella Thorne	Big Sky	2015
Aaron Tveit	Big Sky	2015
Kyra Sedgwick	Labor Pains	2000
Mary Tyler Moore	Labor Pains	2000
Lela Rochon	Labor Pains	2000
Rob Morrow	Labor Pains	2000
Kyra Sedgwick	Reach Me	2014
Lauren Cohan	Reach Me	2014
Kevin Connolly	Reach Me	2014
Thomas Jane	Reach Me	2014
Kyra Sedgwick	Secondhand Lions	2003
Robert Duvall	Secondhand Lions	2003
Haley Joel Osment	Secondhand Lions	2003
Michael Caine	Secondhand Lions	2003
Kyra Sedgwick	Critical Care	1997
Anne Bancroft	Critical Care	1997
James Spader	Critical Care	1997
Helen Mirren	Critical Care	1997
Campbell Scott	Ordinary Miracles: The Photo League's New York	2012
Campbell Scott	Duma	2005
Mary Makhatho	Duma	2005
Hope Davis	Duma	2005
Alex Michaeletos	Duma	2005
Campbell Scott	Stolen	2005
Harold Smith	Stolen	2005
Blythe Danner	Stolen	2005
Anthony Bailey	Stolen	2005
Campbell Scott	Leonard Soloway's Broadway	2017
Tovah Feldshuh	Leonard Soloway's Broadway	2017
Elizabeth Ashley	Leonard Soloway's Broadway	2017
Olympia Dukakis	Leonard Soloway's Broadway	2017
Campbell Scott	The Secret Lives of Dentists	2002
Hope Davis	The Secret Lives of Dentists	2002
Denis Leary	The Secret Lives of Dentists	2002
Robin Tunney	The Secret Lives of Dentists	2002
Campbell Scott	Mrs. Parker and the Vicious Circle	1994
Jennifer Jason Leigh	Mrs. Parker and the Vicious Circle	1994
Peter Gallagher	Mrs. Parker and the Vicious Circle	1994
Matthew Broderick	Mrs. Parker and the Vicious Circle	1994
Campbell Scott	Crashing	2007
Caleigh White	Crashing	2007
David Cross	Crashing	2007
Alex Kingston	Crashing	2007
Embeth Davidtz	Fallen	1998
Embeth Davidtz	The Emperor's Club	2002
Joel Gretsch	The Emperor's Club	2002
Kevin Kline	The Emperor's Club	2002
Embeth Davidtz	Feast of July	1995
James Purefoy	Feast of July	1995
Embeth Davidtz	Simon Magus	1999
Noah Taylor	Simon Magus	1999
Stuart Townsend	Simon Magus	1999
Sean McGinley	Simon Magus	1999
Embeth Davidtz	Junebug	2005
Alicia Van Couvering	Junebug	2005
Alessandro Nivola	Junebug	2005
Embeth Davidtz	The Gingerbread Man	1998
Daryl Hannah	The Gingerbread Man	1998
Kenneth Branagh	The Gingerbread Man	1998
Robert Downey Jr.	The Gingerbread Man	1998
Embeth Davidtz	Europa Report	2013
Embeth Davidtz	Nag van die 19de	1991
Marcel van Heerden	Nag van die 19de	1991
Pierre Knoesen	Nag van die 19de	1991
Pieter Brand	Nag van die 19de	1991
Embeth Davidtz	Mutator	1989
Embeth Davidtz	Bicentennial Man	1999
Oliver Platt	Bicentennial Man	1999
Robin Williams	Bicentennial Man	1999
Sam Neill	Bicentennial Man	1999
Gary Oldman	Prick Up Your Ears	1987
Gary Oldman	Bram Stoker's Dracula	1992
Keanu Reeves	Bram Stoker's Dracula	1992
Winona Ryder	Bram Stoker's Dracula	1992
Anthony Hopkins	Bram Stoker's Dracula	1992
Gary Oldman	Rosencrantz & Guildenstern Are Dead	1990
Tim Roth	Rosencrantz & Guildenstern Are Dead	1990
Richard Dreyfuss	Rosencrantz & Guildenstern Are Dead	1990
Livio Badurina	Rosencrantz & Guildenstern Are Dead	1990
Gary Oldman	Darkest Hour	2017
Lily James	Darkest Hour	2017
Ben Mendelsohn	Darkest Hour	2017
Kristin Scott Thomas	Darkest Hour	2017
Christian Slater	Way of the Wicked	2014
Emily Tennant	Way of the Wicked	2014
Vinnie Jones	Way of the Wicked	2014
Jake Croker	Way of the Wicked	2014
Christian Slater	Alone in the Dark	2005
Stephen Dorff	Alone in the Dark	2005
Tara Reid	Alone in the Dark	2005
Frank C. Turner	Alone in the Dark	2005
Christian Slater	Hard Cash	2002
Val Kilmer	Hard Cash	2002
Sara Downing	Hard Cash	2002
Vincent Laresca	Hard Cash	2002
Christian Slater	The Deal	2005
Robert Loggia	The Deal	2005
Selma Blair	The Deal	2005
Colm Feore	The Deal	2005
Christian Slater	3000 Miles to Graceland	2001
Kevin Costner	3000 Miles to Graceland	2001
Kurt Russell	3000 Miles to Graceland	2001
Courteney Cox	3000 Miles to Graceland	2001
Christian Slater	Jimmy Hollywood	1994
Jason Beghe	Jimmy Hollywood	1994
Victoria Abril	Jimmy Hollywood	1994
Joe Pesci	Jimmy Hollywood	1994
Christian Slater	Dawn Rider	2012
Ben Cotton	Dawn Rider	2012
Jill Hennessy	Dawn Rider	2012
Donald Sutherland	Dawn Rider	2012
Christian Slater	Gleaming the Cube	1989
Steven Bauer	Gleaming the Cube	1989
Richard Herd	Gleaming the Cube	1989
Markus Waldow	Ninja: Shadow of a Tear	2013
Scott Adkins	Ninja: Shadow of a Tear	2013
Mika Hijii	Ninja: Shadow of a Tear	2013
Kane Kosugi	Ninja: Shadow of a Tear	2013
Markus Waldow	The Rooms	2014
Yoko Takano	The Rooms	2014
Savika Chaiyadej	The Rooms	2014
Kavee Tanjararak	The Rooms	2014
Ase Wang	The Rooms	2014
Markus Waldow	Final Recipe	2013
Chin Han	Final Recipe	2013
Markus Waldow	Mr. Hurt	2017
Pongsatorn Jongwilak	Mr. Hurt	2017
Marie Broenner	Mr. Hurt	2017
Mashannoad Suvalmas	Mr. Hurt	2017
Sunny Suwanmethanont	Mr. Hurt	2017
Jirantanin Pitakporntrakul	Brawl	2012
Suchao Pongwilai	Brawl	2012
Yuhkoh Matsuguchi	Brawl	2012
Anthony Ryu	Brawl	2012
Jay Morin	Brawl	2012
Jawed El Berni	Brawl	2012
Jakkrit Kanokpodjananon	Brawl	2012
David Ismalone	Brawl	2012
Simone Signoret	Adua e le compagne	1960
Sandra Milo	Adua e le compagne	1960
Marcello Mastroianni	Adua e le compagne	1960
Simone Signoret	La solitude du chanteur de fond	1974
Chris Marker	La solitude du chanteur de fond	1974
Bob Castella	La solitude du chanteur de fond	1974
Simone Signoret	Le joli mai	1963
Jean-Luc Godard	Le joli mai	1963
Simone Signoret	Les mauvais coups	1961
Reginald Kernan	Les mauvais coups	1961
Alexandra Stewart	Les mauvais coups	1961
Marcello Pagliero	Les mauvais coups	1961
Harriet Andersson	Hoppsan!	1955
Douglas Hage	Hoppsan!	1955
Sven Lindberg	Hoppsan!	1955
Harriet Andersson	Happy End	1999
Ju-hee Park	Happy End	1999
Robert Jelinek	Happy End	1999
Hyeon Ju	Happy End	1999
Jin-mo Ju	Happy End	1999
Min-sik Choi	Happy End	1999
Alexander Skarsgard	Happy End	1999
Stefan Norrthon	Happy End	1999
Do-yeon Jeon	Happy End	1999
Mi-seon Hwang	Happy End	1999
Harriet Andersson	Kampf um Rom II - Der Verrat	1969
Orson Welles	Kampf um Rom II - Der Verrat	1969
Sylva Koscina	Kampf um Rom II - Der Verrat	1969
Laurence Harvey	Kampf um Rom II - Der Verrat	1969
Harriet Andersson	To Love	1964
Thomas Svanfeldt	To Love	1964
Zbigniew Cybulski	To Love	1964
Isa Quensel	To Love	1964
Harriet Andersson	Barbara - Wild wie das Meer	1961
Carl Lange	Barbara - Wild wie das Meer	1961
Maria Sebaldt	Barbara - Wild wie das Meer	1961
Helmut Griem	Barbara - Wild wie das Meer	1961
Harriet Andersson	Dream of Happiness	1963
Gunnar Bjornstrand	Dream of Happiness	1963
Herman Ahlsell	Dream of Happiness	1963
Carl Billquist	Dream of Happiness	1963
Gertrud Fridh	Dream of Happiness	1963
Harriet Andersson	Har borjar aventyret	1965
Goran Cederberg	Har borjar aventyret	1965
Matti Oravisto	Har borjar aventyret	1965
Claude Titre	Har borjar aventyret	1965
Harriet Andersson	Siska	1962
Mona Malm	Siska	1962
Harriet Andersson	A Lesson in Love	1954
Eva Dahlbeck	A Lesson in Love	1954
Gunnar Bjornstrand	A Lesson in Love	1954
Yvonne Lombard	A Lesson in Love	1954
Raf Vallone	Harlow	1965
Barry Sullivan	Harlow	1965
Efrem Zimbalist Jr.	Harlow	1965
Ginger Rogers	Harlow	1965
Angela Lansbury	Harlow	1965
Carol Lynley	Harlow	1965
Carroll Baker	Harlow	1965
Red Buttons	Harlow	1965
Raf Vallone	Bitter Rice	1949
Doris Dowling	Bitter Rice	1949
Vittorio Gassman	Bitter Rice	1949
Silvana Mangano	Bitter Rice	1949
Raf Vallone	Siluri umani	1954
Raf Vallone	The Adultress	1953
Jacques Duby	The Adultress	1953
Maria Pia Casilio	The Adultress	1953
Irene Papas	Witness Out of Hell	1966
Daniel Gelin	Witness Out of Hell	1966
Jean Claudio	Witness Out of Hell	1966
Heinz Drache	Witness Out of Hell	1966
Irene Papas	Chronicle of a Death Foretold	1987
Gian Maria Volonte	Chronicle of a Death Foretold	1987
Rupert Everett	Chronicle of a Death Foretold	1987
Ornella Muti	Chronicle of a Death Foretold	1987
Irene Papas	Z	1969
Jean-Louis Trintignant	Z	1969
Yves Montand	Z	1969
Francois Perier	Z	1969
Irene Papas	Island	1989
Anoja Weerasinghe	Island	1989
Chris Haywood	Island	1989
Eva Sitteova	Island	1989
Theodore Bikel	Escape from the Iron Curtain	1956
Carina Helm	Escape from the Iron Curtain	1956
Donald Gray	Escape from the Iron Curtain	1956
John Bentley	Escape from the Iron Curtain	1956
Adrienne Scott	Escape from the Iron Curtain	1956
Oskar Wegrostek	Escape from the Iron Curtain	1956
Theodore Bikel	Journey 4 Artists	2013
Tamara Brooks	Journey 4 Artists	2013
Shura Lipovsky	Journey 4 Artists	2013
Merima Kljuco	Journey 4 Artists	2013
Theodore Bikel	Chance Meeting	1954
Joseph Tomelty	Chance Meeting	1954
Odile Versois	Chance Meeting	1954
David Knight	Chance Meeting	1954
Theodore Bikel	The Enemy Below	1957
David Hedison	The Enemy Below	1957
Curd Jurgens	The Enemy Below	1957
Theodore Bikel	The Blue Angel	1959
John Banner	The Blue Angel	1959
Curd Jurgens	The Blue Angel	1959
Theodore Bikel	A Sacred Duty	2007
Lionel Friedberg	A Sacred Duty	2007
Theodore Bikel	Darker Than Amber	1970
Suzy Kendall	Darker Than Amber	1970
Rod Taylor	Darker Than Amber	1970
Ahna Capri	Darker Than Amber	1970
Theodore Bikel	The Pride and the Passion	1957
Cary Grant	The Pride and the Passion	1957
Frank Sinatra	The Pride and the Passion	1957
Sophia Loren	The Pride and the Passion	1957
Theodore Bikel	Humphrey Bogart: Behind the Legend	1994
Lauren Bacall	Humphrey Bogart: Behind the Legend	1994
Jeffrey Lyons	Humphrey Bogart: Behind the Legend	1994
Rosalind Russell	Fast and Loose	1939
Ralph Morgan	Fast and Loose	1939
Etienne Girardot	Fast and Loose	1939
Robert Montgomery	Fast and Loose	1939
Reginald Owen	Fast and Loose	1939
Rosalind Russell	The Casino Murder Case	1935
Alison Skipworth	The Casino Murder Case	1935
Paul Lukas	The Casino Murder Case	1935
Donald Cook	The Casino Murder Case	1935
Rosalind Russell	Roughly Speaking	1945
Jack Carson	Roughly Speaking	1945
Rosalind Russell	The Guilt of Janet Ames	1947
Betsy Blair	The Guilt of Janet Ames	1947
Melvyn Douglas	The Guilt of Janet Ames	1947
Sid Caesar	The Guilt of Janet Ames	1947
Rosalind Russell	Live, Love and Learn	1937
Helen Vinson	Live, Love and Learn	1937
Robert Benchley	Live, Love and Learn	1937
Robert Montgomery	Live, Love and Learn	1937
Rosalind Russell	Rosie!	1967
Brian Aherne	Rosie!	1967
Rosalind Russell	Under Two Flags	1936
Ronald Colman	Under Two Flags	1936
Claudette Colbert	Under Two Flags	1936
Victor McLaglen	Under Two Flags	1936
Rosalind Russell	What a Woman!	1943
Willard Parker	What a Woman!	1943
Brian Aherne	What a Woman!	1943
Alan Dinehart	What a Woman!	1943
Rosalind Russell	Sister Kenny	1946
Alexander Knox	Sister Kenny	1946
Dean Jagger	Sister Kenny	1946
Philip Merivale	Sister Kenny	1946
Rosalind Russell	Man-Proof	1938
Franchot Tone	Man-Proof	1938
Myrna Loy	Man-Proof	1938
Walter Pidgeon	Man-Proof	1938
Jack Hawkins	The Bridge on the River Kwai	1957
Alec Guinness	The Bridge on the River Kwai	1957
Jack Hawkins	Land of Fury	1954
Glynis Johns	Land of Fury	1954
Noel Purcell	Land of Fury	1954
Inia Te Wiata	Land of Fury	1954
Jack Hawkins	The Third Secret	1964
Richard Attenborough	The Third Secret	1964
Stephen Boyd	The Third Secret	1964
Jack Hawkins	Gideon of Scotland Yard	1958
Anna Massey	Gideon of Scotland Yard	1958
Andrew Ray	Gideon of Scotland Yard	1958
Jack Hawkins	Malta Story	1953
Anthony Steel	Malta Story	1953
Alec Guinness	Malta Story	1953
Muriel Pavlow	Malta Story	1953
Jack Hawkins	Twice Upon a Time	1953
Hugh Williams	Twice Upon a Time	1953
Richard Beymer	Home the Horror Story	2000
Ed Wasser	Home the Horror Story	2000
Grace Zabriskie	Home the Horror Story	2000
Tracy Nelson	Home the Horror Story	2000
Richard Beymer	Playing Patti	1998
Sam Hennings	Playing Patti	1998
Raymond Cruz	Playing Patti	1998
Tony Dow	Playing Patti	1998
Brad Dourif	Playing Patti	1998
Patti Cohoon-Friedman	Playing Patti	1998
Richard Beymer	Hemingway's Adventures of a Young Man	1962
Corinne Calvet	Hemingway's Adventures of a Young Man	1962
Diane Baker	Hemingway's Adventures of a Young Man	1962
Fred Clark	Hemingway's Adventures of a Young Man	1962
Richard Beymer	The Diary of Anne Frank	1959
Joseph Schildkraut	The Diary of Anne Frank	1959
Shelley Winters	The Diary of Anne Frank	1959
Millie Perkins	The Diary of Anne Frank	1959
Richard Beymer	Scream Free!	1969
Casey Kasem	Scream Free!	1969
Russ Tamblyn	Scream Free!	1969
Lana Wood	Scream Free!	1969
Christopher Chaplin	Il cinema ritrovato: istruzioni per l'uso	2004
Luciano Berriatua	Il cinema ritrovato: istruzioni per l'uso	2004
Adriano Apra	Il cinema ritrovato: istruzioni per l'uso	2004
Joao Benard da Costa	Il cinema ritrovato: istruzioni per l'uso	2004
Michel Ciment	Il cinema ritrovato: istruzioni per l'uso	2004
Gian Piero Brunetta	Il cinema ritrovato: istruzioni per l'uso	2004
Milos Kopecky	How to Drown Dr. Mracek, the Lawyer	1975
Frantisek Filipovsky	How to Drown Dr. Mracek, the Lawyer	1975
Jaromir Hanzlik	How to Drown Dr. Mracek, the Lawyer	1975
Libuse Safrankova	How to Drown Dr. Mracek, the Lawyer	1975
Milos Kopecky	Mezi zemi a nebem	1958
Milos Kopecky	Lemonade Joe	1964
Rudolf Deyl	Lemonade Joe	1964
Karel Fiala	Lemonade Joe	1964
Kveta Fialova	Lemonade Joe	1964
Milos Kopecky	Slasti Otce vlasti	1969
Jaromir Hanzlik	Slasti Otce vlasti	1969
Daniela Kolarova	Slasti Otce vlasti	1969
Karel Anderle	Slasti Otce vlasti	1969
Milos Kopecky	Adele's Dinner	1978
Michal Docolomansky	Adele's Dinner	1978
Vaclav Lohnisky	Adele's Dinner	1978
Rudolf Hrusinsky	Adele's Dinner	1978
Mary-Louise Parker	RED	2010
Bruce Willis	RED	2010
Mary-Louise Parker	Golden Exits	2017
Emily Browning	Golden Exits	2017
Adam Horovitz	Golden Exits	2017
Lily Rabe	Golden Exits	2017
Dominique Swain	Happy Campers	2001
Keram Malicki-Sanchez	Happy Campers	2001
Emily Bergl	Happy Campers	2001
Dominique Swain	The Dark Field	2018
Julie McCullough	The Dark Field	2018
Erin O'Brien	The Dark Field	2018
Jessica Morris	The Dark Field	2018
Dominique Swain	The Fast and the Fierce	2017
Adrian Paul	The Fast and the Fierce	2017
Dominique Swain	New Best Friend	2002
Mia Kirshner	New Best Friend	2002
Meredith Monroe	New Best Friend	2002
Dominique Swain	Briar Patch	2003
James Urbaniak	Briar Patch	2003
Henry Thomas	Briar Patch	2003
Arie Verveen	Briar Patch	2003
Dominique Swain	As Virgins Fall	2003
Jennifer Coolidge	As Virgins Fall	2003
Chris Gartin	As Virgins Fall	2003
Oliver Hudson	As Virgins Fall	2003
Dominique Swain	Tart	2001
Bijou Phillips	Tart	2001
Mischa Barton	Tart	2001
Dominique Swain	Stuntmen	2009
Marc Blucas	Stuntmen	2009
Ronnie Gilbert	The Women of Summer	1985
Holly Near	The Women of Summer	1985
Ronnie Gilbert	Woody Guthrie: Hard Travelin'	1984
Joan Baez	Woody Guthrie: Hard Travelin'	1984
Arlo Guthrie	Woody Guthrie: Hard Travelin'	1984
Jack Elliott	Woody Guthrie: Hard Travelin'	1984
Hoyt Axton	Woody Guthrie: Hard Travelin'	1984
Judy Collins	Woody Guthrie: Hard Travelin'	1984
Ronnie Gilbert	Isn't This a Time! A Tribute Concert for Harold Leventhal	2004
Erik Darling	Isn't This a Time! A Tribute Concert for Harold Leventhal	2004
Leon Bibb	Isn't This a Time! A Tribute Concert for Harold Leventhal	2004
Ronnie Gilbert	Forever Activists: Stories from the Veterans of the Abraham Lincoln Brigade	1990
Maury Colow	Forever Activists: Stories from the Veterans of the Abraham Lincoln Brigade	1990
Ruth Davidow	Forever Activists: Stories from the Veterans of the Abraham Lincoln Brigade	1990
Sam Gonshak	Forever Activists: Stories from the Veterans of the Abraham Lincoln Brigade	1990
Roy Brown	Danny and the Lions	2009
Anthony Holds	Danny and the Lions	2009
Greg Hansen	Danny and the Lions	2009
John Jenis	Danny and the Lions	2009
Roy Brown	Reality Check: The Musical	2011
Daniel Passaro	Reality Check: The Musical	2011
Anthony Holds	Reality Check: The Musical	2011
Greg Hansen	Reality Check: The Musical	2011
Jackson Browne	The Making and Meaning of 'We Are Family'	2002
Jackson Browne	American Music: Off the Record	2008
Noam Chomsky	American Music: Off the Record	2008
Douglas Rushkoff	American Music: Off the Record	2008
Jackson Browne	The Secret Policeman's Third Ball	1987
Kate Bush	The Secret Policeman's Third Ball	1987
Joan Armatrading	The Secret Policeman's Third Ball	1987
Chet Atkins	The Secret Policeman's Third Ball	1987
Jackson Browne	Song of the Kauri	2011
Laurie Williams	Song of the Kauri	2011
Karamea Davis	Song of the Kauri	2011
Miranda Adams	Song of the Kauri	2011
Keith Stewart	Song of the Kauri	2011
David Byrne	By the Ways: A Journey with William Eggleston	2006
Ayden Clay	By the Ways: A Journey with William Eggleston	2006
Andra Eggleston	By the Ways: A Journey with William Eggleston	2006
Maud Schuyler Clay	By the Ways: A Journey with William Eggleston	2006
David Byrne	Stop Making Sense	1984
Bernie Worrell	Stop Making Sense	1984
Alex Weir	Stop Making Sense	1984
Steven Scales	Stop Making Sense	1984
Ruben Blades	Disorganized Crime	1989
Hoyt Axton	Disorganized Crime	1989
Fred Gwynne	Disorganized Crime	1989
Corbin Bernsen	Disorganized Crime	1989
Ruben Blades	Imagining Argentina	2003
Emma Thompson	Imagining Argentina	2003
Ruben Blades	Latido Latino I: senas de identidad	2001
Ruben Blades	Color of Night	1994
Jane March	Color of Night	1994
Bruce Willis	Color of Night	1994
Lesley Ann Warren	Color of Night	1994
Ruben Blades	The Super	1991
Madolyn Smith Osborne	The Super	1991
Joe Pesci	The Super	1991
Vincent Gardenia	The Super	1991
Ruben Blades	From Son to Salsa	1996
Isaac Delgado	From Son to Salsa	1996
Celia Cruz	From Son to Salsa	1996
Willie Colon	From Son to Salsa	1996
Ruben Blades	Yo soy la Salsa	2014
Yanfourd	Yo soy la Salsa	2014
Johnny Pacheco	Yo soy la Salsa	2014
Marc Anthony	Yo soy la Salsa	2014
Ruben Blades	Spoken Word	2009
Miguel Sandoval	Spoken Word	2009
Kuno Becker	Spoken Word	2009
Persia White	Spoken Word	2009
Ruben Blades	Invasion	2014
Rosa Isabel Lorenzo	Invasion	2014
Abner Benaim	Invasion	2014
Roberto Duran	Invasion	2014
Ruben Blades	Sono, Sono, Tite Curet!!!	2011
Cheo Feliciano	Sono, Sono, Tite Curet!!!	2011
Tego Calderon	Sono, Sono, Tite Curet!!!	2011
Cultura Profetica	Sono, Sono, Tite Curet!!!	2011
Deepak Chopra	The Reality of Truth	2016
Peter Coyote	The Reality of Truth	2016
Ram Dass	The Reality of Truth	2016
Deepak Chopra	Change Is Gonna Come	2009
Michael Beckwith	Change Is Gonna Come	2009
Julia Decker	Change Is Gonna Come	2009
Shohreh Aghdashloo	Change Is Gonna Come	2009
Denise Brown	Change Is Gonna Come	2009
Deepak Chopra	Urban Sutra	2016
Russell Simmons	Urban Sutra	2016
David Lynch	It's a Beautiful World	2014
David Lynch	My Beautiful Broken Brain	2014
Jan Sodderland	My Beautiful Broken Brain	2014
Hente Sodderland	My Beautiful Broken Brain	2014
Sophie Robinson	My Beautiful Broken Brain	2014
David Lynch	Shadows of Paradise	2016
David Lynch	Celluloid Dreams	2002
